Rat_Number,Drug_Assigned,Frequency,Intensity,RMS_mean,RMS_mean_baseline,RMS_diff
272,KD,BBN,90,0.78225,0.097890968,0.684359032
272,KD,BBN,80,0.63495,0.097890968,0.537059032
272,KD,BBN,70,0.4492,0.097890968,0.351309032
272,KD,BBN,60,0.29615,0.097890968,0.198259032
272,KD,BBN,50,0.2278,0.097890968,0.129909032
272,KD,BBN,40,0.15375,0.097890968,0.055859032
272,KD,BBN,30,0.0852,0.097890968,-0.012690968
272,KD,BBN,20,0.08185,0.097890968,-0.016040968
272,KD,BBN,10,0.07895,0.097890968,-0.018940968
272,DI,BBN,90,0.61405,0.054784489,0.559265511
272,DI,BBN,80,0.3872,0.054784489,0.332415511
272,DI,BBN,70,0.2209,0.054784489,0.166115511
272,DI,BBN,60,0.1759,0.054784489,0.121115511
272,DI,BBN,50,0.1373,0.054784489,0.082515511
272,DI,BBN,40,0.11045,0.054784489,0.055665511
272,DI,BBN,30,0.06225,0.054784489,0.007465511
272,DI,BBN,20,0.06945,0.054784489,0.014665511
272,DI,BBN,10,0.06655,0.054784489,0.011765511
435,DI,BBN,90,0.54705,0.104437451,0.442612549
435,DI,BBN,80,0.403,0.104437451,0.298562549
435,DI,BBN,70,0.23005,0.104437451,0.125612549
435,DI,BBN,60,0.17025,0.104437451,0.065812549
435,DI,BBN,50,0.20525,0.104437451,0.100812549
435,DI,BBN,40,0.16265,0.104437451,0.058212549
435,DI,BBN,30,0.1163,0.104437451,0.011862549
435,DI,BBN,20,0.1191,0.104437451,0.014662549
435,DI,BBN,10,0.10845,0.104437451,0.004012549
720,Pure Iso,BBN,90,0.60215,0.091405107,0.510744893
720,Pure Iso,BBN,80,0.43015,0.091405107,0.338744893
720,Pure Iso,BBN,70,0.2761,0.091405107,0.184694893
720,Pure Iso,BBN,60,0.23225,0.091405107,0.140844893
720,Pure Iso,BBN,50,0.1865,0.091405107,0.095094893
720,Pure Iso,BBN,40,0.1921,0.091405107,0.100694893
720,Pure Iso,BBN,30,0.11105,0.091405107,0.019644893
720,Pure Iso,BBN,20,0.1008,0.091405107,0.009394893
720,Pure Iso,BBN,10,0.0974,0.091405107,0.005994893
272,Pure Iso,BBN,90,0.3039,0.1144,0.1895
272,Pure Iso,BBN,80,0.28015,0.1144,0.16575
272,Pure Iso,BBN,70,0.1532,0.1144,0.0388
