,file,Genotype,channel,params,slope,threshold,y_min,y_max,range,sigma,r_squared,gain,Subject,group
1,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,WT,2,[34.89106152 39.4538298  21.48164697 17.00815101],0.5857284207877456,39.45382979615981,17.00815101005994,51.8992125269023,3.051431780926985,21.481646973817696,0.9153524454041118,34.89106151684236,11,11_2_F:\Fmr1 SD Tanks\WT\BA190305A\Block-2
3,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,WT,4,[28.00985652 29.90991323 10.48994635 14.78440381],0.20447796078570943,29.909913230849483,14.784403809991051,42.79426032827497,2.8945543478293883,10.4899463485522,0.7929122066423209,28.00985651828392,11,11_4_F:\Fmr1 SD Tanks\WT\BA190305A\Block-2
4,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,WT,5,[34.49114865 35.2798533  10.20514962 20.82380796],0.05446353714688711,35.279853302090274,20.82380795809645,55.314956605234116,2.656332440087033,10.205149615752836,0.8645366317049141,34.49114864713766,11,11_5_F:\Fmr1 SD Tanks\WT\BA190305A\Block-2
6,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,WT,7,[18.33510441 28.86693406  9.50075906 12.255365  ],0.08655352337072485,28.86693405733238,12.255364996892956,30.590469409129987,2.4960879922291537,9.500759062863338,0.7976802639351607,18.33510441223703,11,11_7_F:\Fmr1 SD Tanks\WT\BA190305A\Block-2
9,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,WT,10,[27.93652025 23.16222652 13.66247127  4.12046608],0.9518635633476434,23.16222652120023,4.120466076555797,32.05698632957973,7.7799418157994955,13.662471265279635,0.5264129795334559,27.936520253023932,11,11_10_F:\Fmr1 SD Tanks\WT\BA190305A\Block-2
12,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,WT,13,[25.448143   30.40787833  8.72582775 10.5840326 ],0.0392693553230572,30.407878330860093,10.5840326013322,36.03217559792648,3.40439008033584,8.725827752935484,0.8489457015079006,25.44814299659428,11,11_13_F:\Fmr1 SD Tanks\WT\BA190305A\Block-2
16,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,WT,1,[31.53320275  3.974561    4.34998854 33.41837966],3.5564400267418246,3.974560997666735,33.418379656747106,64.95158240471899,1.9435886201503905,4.349988543037467,0.8634263369554372,31.533202747971885,11,11_1_F:\Fmr1 SD Tanks\WT\BA190305C\Block-2
17,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,WT,3,[37.75897137  3.14538303  6.51515953 19.53748287],1.4076089005499168,3.14538303466513,19.537482869115493,57.29645423522751,2.9326425834415306,6.51515953037225,0.9145198601144069,37.758971366112014,11,11_3_F:\Fmr1 SD Tanks\WT\BA190305C\Block-2
20,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,WT,6,[30.48683981  3.96675232  4.54794206  5.9230547 ],3.184279371026832,3.966752321489882,5.923054704919243,36.409894510612,6.147148105921204,4.54794206451288,0.967526140846856,30.486839805692757,11,11_6_F:\Fmr1 SD Tanks\WT\BA190305C\Block-2
22,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,WT,11,[36.93783878  4.09179372  4.52608524  9.83705368],4.018965713115108,4.091793718726611,9.837053684855146,46.7748924678646,4.7549697263396995,4.526085236435254,0.946110226993631,36.937838783009454,11,11_11_F:\Fmr1 SD Tanks\WT\BA190305C\Block-2
25,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,WT,14,[28.19905532  3.25970028  6.51197839 33.68025643],1.1207699799342663,3.259700279155749,33.68025642962668,61.87931175022795,1.8372577382099768,6.511978387338372,0.82274430083913,28.199055320601268,11,11_14_F:\Fmr1 SD Tanks\WT\BA190305C\Block-2
26,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,WT,16,[26.42206016  5.47511956  4.53948867 20.81620211],3.4711246989616025,5.475119560830986,20.81620210708089,47.238262267297074,2.2693026337992936,4.539488671006768,0.7887257686880269,26.422060160216184,11,11_16_F:\Fmr1 SD Tanks\WT\BA190305C\Block-2
27,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,1,[33.97523475 16.60137928  9.70811626  9.0599785 ],1.6642298408697795,16.601379281359964,9.059978503438805,43.03521325718461,4.750034808675337,9.708116264192379,0.8789039820817813,33.9752347537458,11,11_1_F:\Fmr1 SD Tanks\WT\BA190305E\Block-2
28,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,2,[39.84378597 19.5550075   8.82282172 13.67915297],1.0651107226422596,19.55500750396885,13.679152972027053,53.52293894592642,3.9127378029456374,8.822821722400457,0.8396454783516151,39.843785973899365,11,11_2_F:\Fmr1 SD Tanks\WT\BA190305E\Block-2
29,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,WT,4,[46.73491298 15.61323828  9.24504284 17.89812937],2.466860552985395,15.613238281322829,17.89812936666769,64.63304234621657,3.611161871842593,9.245042839681757,0.8460101131393991,46.73491297954888,11,11_4_F:\Fmr1 SD Tanks\WT\BA190305E\Block-2
